name,votes,all_star_share
Dwight Howard,1600390,0.074
Kobe Bryant,1555479,0.072
Derrick Rose,1514723,0.07
LeBron James,1360680,0.063
Kevin Durant,1345566,0.062
Dwyane Wade,1334223,0.061
Chris Paul,1138743,0.052
Andrew Bynum,1051945,0.048
Carmelo Anthony,1041290,0.048
Blake Griffin,876451,0.04
Rajon Rondo,547110,0.025
Pau Gasol,470353,0.022
Dirk Nowitzki,468435,0.022
Ricky Rubio,397456,0.018
Amar'e Stoudemire,383734,0.018
Ray Allen,382147,0.018
Kevin Love,373880,0.017
Kevin Garnett,367914,0.017
Chris Bosh,324605,0.015
DeAndre Jordan,322056,0.015
Marc Gasol,285525,0.013
LaMarcus Aldridge,279500,0.013
Steve Nash,276268,0.013
Luol Deng,276205,0.013
Russell Westbrook,262186,0.012
Joakim Noah,236497,0.011
Paul Pierce,215020,0.01
Deron Williams,208697,0.01
Nenê Hilário,207102,0.01
Kyle Lowry,185584,0.009
Tim Duncan,185069,0.009
Carlos Boozer,175828,0.008
Tyson Chandler,163077,0.008
Monta Ellis,156603,0.007
Andrea Bargnani,152362,0.007
Lamar Odom,142830,0.007
Marcin Gortat,136168,0.006
José Calderón,132167,0.006
Chauncey Billups,120961,0.006
Josh Smith,119638,0.006
Jason Kidd,114924,0.005
Richard Hamilton,111368,0.005
Manu Ginóbili,111273,0.005
Danilo Gallinari,110245,0.005
Joel Anthony,101307,0.005
John Wall,96606,0.004
Kyrie Irving,96346,0.004
Rudy Gay,95228,0.004
Joe Johnson,66145,0.003
JaVale McGee,63765,0.003
