rank,name,votes
1.,LeBron James,1360680
2.,Carmelo Anthony,1041290
3.,Amar'e Stoudemire,383734
4.,Kevin Garnett,367914
5.,Chris Bosh,324605
6.,Luol Deng,276205
7.,Paul Pierce,215020
8.,Carlos Boozer,175828
9.,Andrea Bargnani,152362
10.,Josh Smith,119638
