name,votes,all_star_share
Julius Erving,707012,0.065
Moses Malone,687741,0.064
Magic Johnson,578795,0.054
Kareem Abdul-Jabbar,545568,0.05
Isiah Thomas,484039,0.045
Maurice Lucas,431288,0.04
Larry Bird,419327,0.039
Jack Sikma,416514,0.039
Maurice Cheeks,407325,0.038
Alex English,404577,0.037
David Thompson,387844,0.036
Reggie Theus,385788,0.036
George Gervin,380778,0.035
Sidney Moncrief,353681,0.033
Adrian Dantley,339231,0.031
Dan Roundfield,331637,0.031
Gus Williams,330520,0.031
Lonnie Shelton,307946,0.028
Dennis Johnson,306470,0.028
Tree Rollins,298447,0.028
Andrew Toney,294567,0.027
Kelly Tripucka,292021,0.027
Marques Johnson,290236,0.027
Jamaal Wilkes,283598,0.026
Dan Issel,257429,0.024
Mychal Thompson,209121,0.019
Artis Gilmore,190342,0.018
Bob Lanier,179454,0.017
Robert Parish,166460,0.015
Bill Laimbeer,143825,0.013
