name,votes,all_star_share
Kevin Garnett,2399148,0.061
LeBron James,2108831,0.054
Dwight Howard,2066991,0.053
Kobe Bryant,2004940,0.051
Carmelo Anthony,1723701,0.044
Tim Duncan,1712800,0.044
Yao Ming,1709180,0.044
Dwyane Wade,1608260,0.041
Dirk Nowitzki,1259025,0.032
Jason Kidd,1246386,0.032
Allen Iverson,1203152,0.031
Tracy McGrady,1192742,0.031
Steve Nash,1174125,0.03
Ray Allen,1061740,0.027
Amar'e Stoudemire,998969,0.026
Vince Carter,981050,0.025
Shaquille O'Neal,965171,0.025
Chris Bosh,838498,0.021
Gilbert Arenas,797502,0.02
Chauncey Billups,625772,0.016
Paul Pierce,574159,0.015
Chris Paul,563525,0.014
Carlos Boozer,553624,0.014
Manu Ginóbili,541148,0.014
Shawn Marion,514142,0.013
Tony Parker,500009,0.013
Baron Davis,499186,0.013
Shane Battier,475483,0.012
Kevin Durant,463187,0.012
Yi Jianlian,450515,0.012
Luis Scola,424470,0.011
Josh Howard,423973,0.011
Marcus Camby,412563,0.011
Grant Hill,389672,0.01
Michael Redd,375243,0.01
Caron Butler,340619,0.009
Richard Hamilton,308357,0.008
Rasheed Wallace,303978,0.008
Hedo Türkoğlu,301038,0.008
Jason Terry,300125,0.008
Andrea Bargnani,293200,0.008
Tyson Chandler,289593,0.007
Andrew Bogut,283576,0.007
Tayshaun Prince,280369,0.007
Jerry Stackhouse,270412,0.007
Ben Wallace,256604,0.007
Erick Dampier,254662,0.007
Joe Johnson,253308,0.006
T.J. Ford,253216,0.006
Rashard Lewis,240725,0.006
