rank,name,votes
1.,Dwyane Wade,2048175
2.,Derrick Rose,1914996
3.,Rajon Rondo,1587297
4.,Ray Allen,890951
5.,Raymond Felton,397301
6.,John Wall,337368
7.,Gilbert Arenas,312903
8.,Brandon Jennings,301225
9.,Jamal Crawford,246130
10.,Joe Johnson,224571
