name,votes,all_star_share
Vince Carter,1470176,0.078
Shaquille O'Neal,1247438,0.066
Kobe Bryant,1121753,0.059
Michael Jordan,985448,0.052
Allen Iverson,920502,0.049
Kevin Garnett,880692,0.046
Tim Duncan,762289,0.04
Dikembe Mutombo,616566,0.033
Chris Webber,553401,0.029
Antoine Walker,547172,0.029
Steve Francis,456972,0.024
Tracy McGrady,453276,0.024
Jason Kidd,442630,0.023
Grant Hill,427446,0.023
Jermaine O'Neal,411422,0.022
Dirk Nowitzki,398184,0.021
Gary Payton,367120,0.019
Ray Allen,365421,0.019
Shareef Abdur-Rahim,335955,0.018
Peja Stojaković,323664,0.017
Vlade Divac,319415,0.017
David Robinson,310201,0.016
Michael Finley,299747,0.016
Stephon Marbury,297112,0.016
Alonzo Mourning,279423,0.015
Steve Nash,278664,0.015
Mike Bibby,265691,0.014
Paul Pierce,254840,0.013
Marcus Camby,235060,0.012
Hakeem Olajuwon,234518,0.012
Anfernee Hardaway,228054,0.012
Kenyon Martin,211299,0.011
Glenn Robinson,211262,0.011
Scottie Pippen,197554,0.01
Doug Christie,175366,0.009
Keith Van Horn,170920,0.009
Jason Williams,170807,0.009
Karl Malone,163009,0.009
Elton Brand,160678,0.008
Rasheed Wallace,156924,0.008
Jamal Mashburn,148069,0.008
Latrell Sprewell,140601,0.007
Shawn Marion,138656,0.007
Antonio Davis,137770,0.007
Brian Grant,128578,0.007
Baron Davis,127291,0.007
Sam Cassell,120868,0.006
Jerry Stackhouse,114412,0.006
Shawn Bradley,110225,0.006
John Amaechi,67740,0.004
