rank,name,votes
1.,Kevin Garnett,1780918
2.,Tim Duncan,1681435
3.,Carmelo Anthony,602536
4.,Dirk Nowitzki,572362
5.,Karl Malone,520882
6.,Peja Stojaković,456369
7.,Chris Webber,383971
8.,Pau Gasol,329218
9.,Antoine Walker,273088
10.,Malik Rose,194661
