rank,name,votes
1.,Vince Carter,2127183
2.,Jermaine O'Neal,1629054
3.,Kenyon Martin,659773
4.,Metta World Peace,405326
5.,Scottie Pippen,358035
6.,Shareef Abdur-Rahim,273018
7.,Carlos Boozer,226822
8.,Richard Jefferson,226253
9.,Jamal Mashburn,221519
10.,Toni Kukoč,193555
