name,votes,all_star_share
Vince Carter,2127183,0.065
Ben Wallace,1982251,0.06
Kevin Garnett,1780918,0.054
Kobe Bryant,1759717,0.054
Allen Iverson,1731648,0.053
Tim Duncan,1681435,0.051
Jermaine O'Neal,1629054,0.05
Yao Ming,1484531,0.045
Shaquille O'Neal,1453286,0.044
Tracy McGrady,1231825,0.037
Jason Kidd,1126838,0.034
Steve Francis,976841,0.03
LeBron James,768532,0.023
Gary Payton,686788,0.021
Kenyon Martin,659773,0.02
Baron Davis,644518,0.02
Carmelo Anthony,602536,0.018
Steve Nash,582243,0.018
Dirk Nowitzki,572362,0.017
Manu Ginóbili,538522,0.016
Karl Malone,520882,0.016
Mike Bibby,483861,0.015
Peja Stojaković,456369,0.014
Alonzo Mourning,414356,0.013
Metta World Peace,405326,0.012
Stephon Marbury,384316,0.012
Chris Webber,383971,0.012
Scottie Pippen,358035,0.011
Zydrunas Ilgauskas,356861,0.011
Tony Parker,346735,0.011
Paul Pierce,332353,0.01
Pau Gasol,329218,0.01
Ray Allen,303337,0.009
Antoine Walker,273088,0.008
Shareef Abdur-Rahim,273018,0.008
Brad Miller,258693,0.008
Michael Finley,253848,0.008
Jamaal Magloire,236448,0.007
Carlos Boozer,226822,0.007
Richard Jefferson,226253,0.007
Reggie Miller,222891,0.007
Jamal Mashburn,221519,0.007
Cuttino Mobley,219382,0.007
Chauncey Billups,214195,0.007
Vlade Divac,203768,0.006
Rasho Nesterović,202527,0.006
Malik Rose,194661,0.006
Toni Kukoč,193555,0.006
Richard Hamilton,184309,0.006
Eddy Curry,169977,0.005
