rank,name,votes
1,Kyrie Irving,1696769
4,Isaiah Thomas,755102
3,DeMar DeRozan,796112
2,Dwyane Wade,979566
5,Kyle Lowry,471697
7,John Wall,301437
6,Derrick Rose,337706
9,Kemba Walker,170299
10,Avery Bradley,97441
14,Bradley Beal,48243
16,Nicolas Batum,30912
11,J.R. Smith,94403
8,Jeremy Lin,202502
17,Goran Dragić,26834
18,Malcolm Brogdon,25077
19,Matthew Dellavedova,24701
22,Sergio Rodríguez,18472
12,Kyle Korver,51591
20,Dennis Schröder,23565
29,Jeff Teague,11422
13,Iman Shumpert,50970
28,Courtney Lee,11832
15,Rajon Rondo,42247
31,T.J. McConnell,10586
21,DeAndre Liggins,20042
34,Bojan Bogdanović,9757
37,Reggie Jackson,7749
35,Michael Carter-Williams,9053
33,Jordan McRae,9791
23,Brandon Jennings,16639
36,Evan Fournier,8882
24,Cory Joseph,14122
43,Monta Ellis,6324
25,Norman Powell,13509
41,Kentavious Caldwell-Pope,6423
26,Marcus Smart,12582
39,Tony Snell,6944
27,Kay Felder,12425
48,D.J. Augustin,4831
45,Jason Terry,5970
42,Khris Middleton,6347
38,Gerald Green,7228
30,Marco Belinelli,10875
32,Ron Baker,10502
49,Sean Kilpatrick,4736
46,Justin Holiday,5642
40,Nik Stauskas,6660
53,Jerryd Bayless,3255
60,Randy Foye,2529
50,Elfrid Payton,4651
51,Denzel Valentine,3701
52,Gerald Henderson,3622
44,Tim Hardaway Jr.,6193
47,Tyler Johnson,5103
58,Dion Waiters,2606
65,Isaiah Canaan,2385
69,Mario Hezonja,1950
66,Jerian Grant,2053
54,Sasha Vujačić,3216
73,Glenn Robinson III,1705
63,Mo Williams,2494
55,Terry Rozier,3190
56,Josh Richardson,2743
57,Joe Harris,2692
59,Caris LeVert,2564
60,Trey Burke,2529
74,Wayne Ellington,1567
70,Isaiah Whitehead,1910
62,Jeremy Lamb,2497
71,Malcolm Delaney,1890
72,Tomáš Satoranský,1812
64,Aaron Brooks,2474
67,Demetrius Jackson,2046
68,Rashad Vaughn,2022
77,Ish Smith,1397
81,Michael Gbinije,887
75,James Young,1414
76,Jodie Meeks,1412
78,Delon Wright,1360
79,Fred VanVleet,1089
80,Rodney Stuckey,932
82,Beno Udrih,875
83,Sheldon Mac,855
84,Spencer Dinwiddie,838
85,Joe Young,781
86,Marcus Thornton,774
87,Rodney McGruder,762
88,Ramon Sessions,719
89,Treveon Graham,642
90,Darrun Hilliard,640
91,Brian Roberts,484
92,C.J. Watson,369
93,C.J. Wilcox,287
