name,votes,all_star_share
Mindaugas Kuzminskas,12272,0.0
Damian Jones,12176,0.0
Nerlens Noel,12079,0.0
Greg Monroe,12006,0.0
Courtney Lee,11832,0.0
Boban Marjanović,11551,0.0
Kevon Looney,11519,0.0
Jerami Grant,11455,0.0
Jeff Teague,11422,0.0
Andrew Bogut,11400,0.0
Thon Maker,11233,0.0
Dario Šarić,11068,0.0
Tyler Ennis,10953,0.0
Marco Belinelli,10875,0.0
James Michael McAdoo,10852,0.0
Nikola Mirotić,10803,0.0
Joe Ingles,10799,0.0
Kyle Anderson,10754,0.0
Derrick Favors,10700,0.0
Willy Hernangómez,10672,0.0
Otto Porter,10661,0.0
Jahlil Okafor,10621,0.0
T.J. McConnell,10586,0.0
Ron Baker,10502,0.0
Nemanja Bjelica,10077,0.0
Austin Rivers,10045,0.0
Ömer Aşık,9917,0.0
Jordan McRae,9791,0.0
Bojan Bogdanović,9757,0.0
Salah Mejri,9658,0.0
Kyle O'Quinn,9570,0.0
Metta World Peace,9277,0.0
Kenneth Faried,9132,0.0
Michael Carter-Williams,9053,0.0
Marreese Speights,9042,0.0
Michael Kidd-Gilchrist,8987,0.0
John Henson,8932,0.0
Evan Fournier,8882,0.0
Robin Lopez,8763,0.0
Luol Deng,8701,0.0
Pascal Siakam,8339,0.0
Luc Mbah a Moute,8177,0.0
K.J. McDaniels,8164,0.0
Robert Covington,8068,0.0
Amir Johnson,7916,0.0
Bismack Biyombo,7804,0.0
Reggie Jackson,7749,0.0
Doug McDermott,7464,0.0
Anthony Morrow,7455,0.0
Kelly Olynyk,7439,0.0
Gerald Green,7228,0.0
Nikola Vučević,7208,0.0
Deron Williams,7159,0.0
Tony Snell,6944,0.0
J.J. Barea,6923,0.0
Mason Plumlee,6910,0.0
Nik Stauskas,6660,0.0
Cameron Payne,6610,0.0
Kentavious Caldwell-Pope,6423,0.0
Tyson Chandler,6408,0.0
Khris Middleton,6347,0.0
Monta Ellis,6324,0.0
Cole Aldrich,6282,0.0
José Calderón,6278,0.0
Nick Collison,6194,0.0
Tim Hardaway Jr.,6193,0.0
Cody Zeller,6168,0.0
Chinanu Onuaku,6007,0.0
Jason Terry,5970,0.0
Tobias Harris,5884,0.0
Dejounte Murray,5867,0.0
Emmanuel Mudiay,5770,0.0
Jrue Holiday,5757,0.0
Kent Bazemore,5684,0.0
Justin Holiday,5642,0.0
Luis Scola,5563,0.0
Leandro Barbosa,5429,0.0
Frank Kaminsky,5419,0.0
Justise Winslow,5404,0.0
Tarik Black,5384,0.0
Mirza Teletović,5351,0.0
Joffrey Lauvergne,5218,0.0
Bruno Caboclo,5185,0.0
Raymond Felton,5138,0.0
Boris Diaw,5125,0.0
Tyler Johnson,5103,0.0
Markieff Morris,5065,0.0
Trevor Booker,5034,0.0
Mike Dunleavy,5010,0.0
Al-Farouq Aminu,4971,0.0
Chandler Parsons,4900,0.0
Buddy Hield,4883,0.0
D.J. Augustin,4831,0.0
Sean Kilpatrick,4736,0.0
Jonas Jerebko,4651,0.0
Elfrid Payton,4651,0.0
Wilson Chandler,4515,0.0
Kris Dunn,4481,0.0
Arron Afflalo,4413,0.0
Thomas Robinson,4398,0.0
Maurice Harkless,4370,0.0
Kyle Wiltjer,4295,0.0
Marvin Williams,4243,0.0
Gorgui Dieng,4231,0.0
Cristiano Felício,4225,0.0
Wesley Johnson,4212,0.0
Jakob Poeltl,4200,0.0
Wesley Matthews,4166,0.0
JaMychal Green,4101,0.0
Joe Johnson,4057,0.0
Kelly Oubre Jr.,3995,0.0
Kyle Singler,3973,0.0
Steve Novak,3909,0.0
Lavoy Allen,3888,0.0
Alexis Ajinça,3884,0.0
Matt Barnes,3804,0.0
Denzel Valentine,3701,0.0
Juan Hernangómez,3634,0.0
Gerald Henderson,3622,0.0
Timothé Luwawu-Cabarrot,3600,0.0
Ivica Zubac,3582,0.0
Meyers Leonard,3579,0.0
Jamal Murray,3526,0.0
Troy Daniels,3489,0.0
Dante Exum,3411,0.0
Omri Casspi,3383,0.0
James Johnson,3335,0.0
Jerryd Bayless,3255,0.0
Sasha Vujačić,3216,0.0
Marcelo Huertas,3205,0.0
Terry Rozier,3190,0.0
Brandon Bass,3175,0.0
Udonis Haslem,3163,0.0
Trey Lyles,3121,0.0
Semaj Christon,3115,0.0
Alan Anderson,3096,0.0
Thaddeus Young,3076,0.0
Thabo Sefolosha,3059,0.0
Justin Anderson,3045,0.0
Willie Cauley-Stein,2989,0.0
Ed Davis,2980,0.0
Aron Baynes,2968,0.0
Richaun Holmes,2944,0.0
Al Jefferson,2936,0.0
Marcus Morris,2888,0.0
Luke Babbitt,2853,0.0
Will Barton,2826,0.0
Josh Richardson,2743,0.0
Brandon Knight,2717,0.0
Joe Harris,2692,0.0
Jared Sullinger,2679,0.0
Tyreke Evans,2621,0.0
Dragan Bender,2609,0.0
Dion Waiters,2606,0.0
Jusuf Nurkić,2592,0.0
Rondae Hollis-Jefferson,2582,0.0
Miles Plumlee,2573,0.0
Caris LeVert,2564,0.0
Gary Harris,2562,0.0
Lance Thomas,2533,0.0
Randy Foye,2529,0.0
Trey Burke,2529,0.0
Jeremy Lamb,2497,0.0
Mo Williams,2494,0.0
Aaron Brooks,2474,0.0
Allen Crabbe,2460,0.0
Marquese Chriss,2444,0.0
Tyus Jones,2406,0.0
Isaiah Canaan,2385,0.0
Evan Turner,2375,0.0
T.J. Warren,2275,0.0
Paul Zipser,2272,0.0
Wade Baldwin,2231,0.0
James Ennis,2187,0.0
Tyler Zeller,2160,0.0
Bobby Portis,2127,0.0
Ty Lawson,2112,0.0
Nikola Peković,2109,0.0
Shabazz Muhammad,2094,0.0
Malik Beasley,2060,0.0
Bobby Brown,2060,0.0
Jerian Grant,2053,0.0
Demetrius Jackson,2046,0.0
Rashad Vaughn,2022,0.0
Dwight Powell,1993,0.0
Roy Hibbert,1984,0.0
Alec Burks,1981,0.0
C.J. Miles,1965,0.0
Mario Hezonja,1950,0.0
Darren Collison,1948,0.0
Isaiah Whitehead,1910,0.0
Tyler Ulis,1901,0.0
Malcolm Delaney,1890,0.0
Shelvin Mack,1889,0.0
Justin Hamilton,1873,0.0
Bryn Forbes,1865,0.0
Jeff Green,1860,0.0
Marshall Plumlee,1858,0.0
Tomáš Satoranský,1812,0.0
Garrett Temple,1765,0.0
Nicolás Brussino,1740,0.0
Darrell Arthur,1733,0.0
Brice Johnson,1732,0.0
Tiago Splitter,1725,0.0
Glenn Robinson III,1705,0.0
Kris Humphries,1666,0.0
Raul Neto,1652,0.0
Terrence Jones,1625,0.0
Dorian Finney-Smith,1589,0.0
Festus Ezeli,1583,0.0
Wayne Ellington,1567,0.0
Tim Frazier,1549,0.0
Jon Leuer,1522,0.0
DeAndre' Bembry,1521,0.0
Spencer Hawes,1491,0.0
Donatas Motiejūnas,1471,0.0
Henry Ellenson,1463,0.0
Josh Huestis,1452,0.0
Dante Cunningham,1445,0.0
Langston Galloway,1419,0.0
James Young,1414,0.0
Jodie Meeks,1412,0.0
Rakeem Christmas,1406,0.0
Stanley Johnson,1400,0.0
Ish Smith,1397,0.0
Devin Harris,1379,0.0
Delon Wright,1360,0.0
Joel Bolomboy,1333,0.0
Jason Smith,1331,0.0
Alex Len,1297,0.0
P.J. Tucker,1284,0.0
Jake Layman,1283,0.0
Brandon Rush,1283,0.0
Ian Mahinmi,1258,0.0
Jared Dudley,1219,0.0
Deyonta Davis,1213,0.0
Mike Miller,1208,0.0
Jordan Mickey,1184,0.0
Andrew Harrison,1172,0.0
Derrick Williams,1154,0.0
Ben McLemore,1122,0.0
Troy Williams,1095,0.0
Maurice Ndour,1094,0.0
Fred VanVleet,1089,0.0
Anthony Tolliver,1083,0.0
Willie Reed,1062,0.0
Noah Vonleh,1047,0.0
Mike Muscala,1030,0.0
Jameer Nelson,991,0.0
Shabazz Napier,975,0.0
Diamond Stone,952,0.0
Rodney Stuckey,932,0.0
Pat Connaughton,917,0.0
Chris McCullough,911,0.0
Taurean Prince,890,0.0
Michael Gbinije,887,0.0
Jordan Hill,881,0.0
Cheick Diallo,877,0.0
Beno Udrih,875,0.0
Damjan Rudež,869,0.0
Adreian Payne,861,0.0
Reggie Bullock,858,0.0
Solomon Hill,855,0.0
Sheldon Mac,855,0.0
Kevin Séraphin,851,0.0
Jarell Martin,847,0.0
Spencer Dinwiddie,838,0.0
A.J. Hammons,786,0.0
Joe Young,781,0.0
Marcus Thornton,774,0.0
Stephen Zimmerman,767,0.0
Tim Quarterman,767,0.0
Rodney McGruder,762,0.0
Skal Labissière,759,0.0
Jeff Withey,740,0.0
Ramon Sessions,719,0.0
Malachi Richardson,716,0.0
Quincy Pondexter,709,0.0
Daniel Ochefu,674,0.0
Danuel House,653,0.0
Treveon Graham,642,0.0
Darrun Hilliard,640,0.0
Alonzo Gee,614,0.0
Alan Williams,607,0.0
Brandan Wright,593,0.0
Christian Wood,593,0.0
Mike Scott,587,0.0
Georges Niang,578,0.0
E'Twaun Moore,560,0.0
Josh McRoberts,552,0.0
Quincy Acy,547,0.0
Andrew Nicholson,529,0.0
Derrick Jones Jr.,505,0.0
Brian Roberts,484,0.0
Ryan Kelly,452,0.0
John Lucas III,389,0.0
C.J. Watson,369,0.0
John Jenkins,318,0.0
C.J. Wilcox,287,0.0
Pierre Jackson,220,0.0
Arinze Onuaku,216,0.0
