name,votes,all_star_share
LeBron James,1893751,0.05
Stephen Curry,1848121,0.048
James Harden,1771375,0.046
Kevin Durant,1768185,0.046
Kyrie Irving,1696769,0.045
Giannis Antetokounmpo,1604463,0.042
Russell Westbrook,1575865,0.041
Zaza Pachulia,1528941,0.04
Kawhi Leonard,1058399,0.028
Klay Thompson,1054304,0.028
Dwyane Wade,979566,0.026
Anthony Davis,974802,0.026
Joel Embiid,922174,0.024
Draymond Green,914973,0.024
Kevin Love,909488,0.024
DeMar DeRozan,796112,0.021
Isaiah Thomas,755102,0.02
Chris Paul,735460,0.019
Jimmy Butler,691072,0.018
DeMarcus Cousins,654274,0.017
Carmelo Anthony,544133,0.014
Kristaps Porziņģis,486527,0.013
Kyle Lowry,471697,0.012
Jordan Clarkson,460979,0.012
Eric Gordon,450891,0.012
Paul George,426325,0.011
Karl-Anthony Towns,367199,0.01
Damian Lillard,340593,0.009
Derrick Rose,337706,0.009
LaMarcus Aldridge,323814,0.008
John Wall,301437,0.008
Blake Griffin,295161,0.008
Andre Iguodala,290271,0.008
Marc Gasol,273705,0.007
Tristan Thompson,245822,0.006
DeAndre Jordan,237708,0.006
JaVale McGee,229738,0.006
Trevor Ariza,221369,0.006
Manu Ginóbili,214670,0.006
Pau Gasol,214387,0.006
Ryan Anderson,207227,0.005
Jeremy Lin,202502,0.005
Jabari Parker,198574,0.005
Nikola Jokić,173327,0.005
Kemba Walker,170299,0.004
Hassan Whiteside,169746,0.004
Patrick Beverley,169351,0.004
Ersan İlyasova,162185,0.004
Gordon Hayward,160209,0.004
Zach LaVine,156616,0.004
Dwight Howard,151155,0.004
Steven Adams,145223,0.004
Andrew Wiggins,135482,0.004
Shaun Livingston,127248,0.003
Rudy Gobert,124890,0.003
Al Horford,122190,0.003
Dirk Nowitzki,112164,0.003
Tony Parker,111148,0.003
Andre Drummond,100797,0.003
Clint Capela,97556,0.003
Avery Bradley,97441,0.003
J.R. Smith,94403,0.002
D'Angelo Russell,86770,0.002
Sam Dekker,84509,0.002
CJ McCollum,83414,0.002
Montrezl Harrell,80807,0.002
Jamal Crawford,76642,0.002
Mike Conley,75710,0.002
Vince Carter,73528,0.002
Ian Clark,71317,0.002
Devin Booker,70018,0.002
Nick Young,68085,0.002
Marcin Gortat,66667,0.002
Enes Kanter,63028,0.002
Julius Randle,57948,0.002
Jonas Valančiūnas,57857,0.002
Victor Oladipo,54023,0.001
Richard Jefferson,53771,0.001
Kyle Korver,51591,0.001
Harrison Barnes,51467,0.001
Iman Shumpert,50970,0.001
Corey Brewer,50870,0.001
Brandon Ingram,50498,0.001
Bradley Beal,48243,0.001
Nenê,47820,0.001
Channing Frye,46384,0.001
Danny Green,43922,0.001
Rajon Rondo,42247,0.001
J.J. Redick,41211,0.001
Patty Mills,40483,0.001
Paul Millsap,39551,0.001
Terrence Ross,38516,0.001
Paul Pierce,38411,0.001
David West,35631,0.001
Jae Crowder,31413,0.001
Nicolas Batum,30912,0.001
Lou Williams,29970,0.001
Jonathon Simmons,29584,0.001
Serge Ibaka,29123,0.001
George Hill,28120,0.001
Brook Lopez,27227,0.001
Eric Bledsoe,27187,0.001
Joakim Noah,26886,0.001
Goran Dragić,26834,0.001
DeMarre Carroll,26782,0.001
Malcolm Brogdon,25077,0.001
Matthew Dellavedova,24701,0.001
Patrick Patterson,24390,0.001
Chris Bosh,23865,0.001
Dennis Schröder,23565,0.001
David Lee,23334,0.001
Aaron Gordon,22774,0.001
Seth Curry,21717,0.001
Danilo Gallinari,21160,0.001
Patrick McCaw,21159,0.001
Dāvis Bertāns,20639,0.001
Zach Randolph,20490,0.001
Larry Nance Jr.,20368,0.001
DeAndre Liggins,20042,0.001
Lucas Nogueira,19837,0.001
Ricky Rubio,19495,0.001
Ben Simmons,19048,0.0
Myles Turner,18655,0.0
Sergio Rodríguez,18472,0.0
Andre Roberson,17977,0.0
Dewayne Dedmon,17245,0.0
Anderson Varejão,17240,0.0
James Jones,16782,0.0
Brandon Jennings,16639,0.0
Domantas Sabonis,16325,0.0
Álex Abrines,16299,0.0
Chris Andersen,16219,0.0
Kosta Koufos,15999,0.0
Taj Gibson,15589,0.0
Rodney Hood,15555,0.0
Michael Beasley,15458,0.0
Tony Allen,15301,0.0
Cory Joseph,14122,0.0
Timofey Mozgov,13795,0.0
Rudy Gay,13662,0.0
Norman Powell,13509,0.0
Marcus Smart,12582,0.0
Kay Felder,12425,0.0
Georgios Papagiannis,12404,0.0
Jaylen Brown,12370,0.0
