rank,name,votes
1,Kevin Durant,1768185
3,Kawhi Leonard,1058399
4,Anthony Davis,974802
6,DeMarcus Cousins,654274
5,Draymond Green,914973
2,Zaza Pachulia,1528941
10,Marc Gasol,273705
7,Karl-Anthony Towns,367199
8,LaMarcus Aldridge,323814
11,DeAndre Jordan,237708
9,Blake Griffin,295161
17,Gordon Hayward,160209
16,Nikola Jokić,173327
18,Steven Adams,145223
15,Ryan Anderson,207227
14,Pau Gasol,214387
20,Rudy Gobert,124890
13,Trevor Ariza,221369
12,JaVale McGee,229738
21,Dirk Nowitzki,112164
19,Andrew Wiggins,135482
25,Enes Kanter,63028
27,Harrison Barnes,51467
34,Danilo Gallinari,21160
26,Julius Randle,57948
36,Zach Randolph,20490
22,Clint Capela,97556
29,Brandon Ingram,50498
23,Sam Dekker,84509
38,Andre Roberson,17977
41,Domantas Sabonis,16325
31,Paul Pierce,38411
43,Timofey Mozgov,13795
37,Larry Nance Jr.,20368
24,Montrezl Harrell,80807
44,Rudy Gay,13662
49,Andrew Bogut,11400
52,Derrick Favors,10700
48,Jerami Grant,11455
28,Corey Brewer,50870
51,Joe Ingles,10799
30,Nenê,47820
45,Georgios Papagiannis,12404
32,David West,35631
33,David Lee,23334
61,Mason Plumlee,6910
57,Kenneth Faried,9132
35,Dāvis Bertāns,20639
39,Dewayne Dedmon,17245
71,Wilson Chandler,4515
53,Nemanja Bjelica,10077
40,Anderson Varejão,17240
54,Ömer Aşık,9917
69,Al-Farouq Aminu,4971
63,Cole Aldrich,6282
42,Kosta Koufos,15999
62,Tyson Chandler,6408
64,Nick Collison,6194
58,Marreese Speights,9042
59,Luol Deng,8701
46,Damian Jones,12176
66,Tarik Black,5384
47,Kevon Looney,11519
73,Maurice Harkless,4370
50,James Michael McAdoo,10852
68,Boris Diaw,5125
55,Salah Mejri,9658
56,Metta World Peace,9277
70,Chandler Parsons,4900
78,Joe Johnson,4057
72,Thomas Robinson,4398
60,Luc Mbah a Moute,8177
75,Gorgui Dieng,4231
82,Juan Hernangómez,3634
76,Wesley Johnson,4212
77,JaMychal Green,4101
65,Chinanu Onuaku,6007
86,Brandon Bass,3175
67,Joffrey Lauvergne,5218
87,Trey Lyles,3121
81,Matt Barnes,3804
74,Kyle Wiltjer,4295
88,Alan Anderson,3096
95,James Ennis,2187
89,Willie Cauley-Stein,2989
90,Ed Davis,2980
79,Kyle Singler,3973
93,Marquese Chriss,2444
80,Alexis Ajinça,3884
101,Brice Johnson,1732
83,Ivica Zubac,3582
84,Meyers Leonard,3579
85,Omri Casspi,3383
100,Darrell Arthur,1733
91,Dragan Bender,2609
92,Jusuf Nurkić,2592
112,Jared Dudley,1219
107,Dante Cunningham,1445
94,T.J. Warren,2275
109,Alex Len,1297
96,Nikola Peković,2109
110,P.J. Tucker,1284
97,Shabazz Muhammad,2094
98,Dwight Powell,1993
99,Nicolás Brussino,1740
102,Terrence Jones,1625
103,Dorian Finney-Smith,1589
104,Festus Ezeli,1583
105,Donatas Motiejūnas,1471
106,Josh Huestis,1452
120,Adreian Payne,861
108,Joel Bolomboy,1333
122,Jarell Martin,847
111,Jake Layman,1283
113,Deyonta Davis,1213
114,Troy Williams,1095
115,Anthony Tolliver,1083
116,Noah Vonleh,1047
117,Diamond Stone,952
118,Jordan Hill,881
119,Cheick Diallo,877
121,Solomon Hill,855
123,A.J. Hammons,786
124,Skal Labissière,759
125,Jeff Withey,740
126,Alonzo Gee,614
127,Alan Williams,607
128,Brandan Wright,593
129,Derrick Jones Jr.,505
