rank,name,votes
1,LeBron James,1893751
2,Giannis Antetokounmpo,1604463
5,Jimmy Butler,691072
4,Kevin Love,909488
3,Joel Embiid,922174
7,Kristaps Porziņģis,486527
8,Paul George,426325
6,Carmelo Anthony,544133
10,Jabari Parker,198574
11,Hassan Whiteside,169746
9,Tristan Thompson,245822
15,Andre Drummond,100797
14,Al Horford,122190
13,Dwight Howard,151155
20,Paul Millsap,39551
16,Marcin Gortat,66667
24,Brook Lopez,27227
17,Jonas Valančiūnas,57857
12,Ersan İlyasova,162185
23,Serge Ibaka,29123
32,Myles Turner,18655
25,Joakim Noah,26886
19,Channing Frye,46384
35,Taj Gibson,15589
31,Ben Simmons,19048
36,Michael Beasley,15458
18,Richard Jefferson,53771
40,Greg Monroe,12006
41,Boban Marjanović,11551
26,DeMarre Carroll,26782
27,Patrick Patterson,24390
39,Nerlens Noel,12079
47,Jahlil Okafor,10621
46,Otto Porter,10661
30,Lucas Nogueira,19837
42,Thon Maker,11233
51,Robin Lopez,8763
45,Willy Hernangómez,10672
21,Terrence Ross,38516
37,Jaylen Brown,12370
22,Jae Crowder,31413
38,Mindaugas Kuzminskas,12272
55,Bismack Biyombo,7804
50,John Henson,8932
59,Cody Zeller,6168
53,Robert Covington,8068
43,Dario Šarić,11068
28,Chris Bosh,23865
44,Nikola Mirotić,10803
29,Aaron Gordon,22774
61,Kent Bazemore,5684
68,Trevor Booker,5034
67,Markieff Morris,5065
57,Kelly Olynyk,7439
58,Nikola Vučević,7208
48,Kyle O'Quinn,9570
33,James Jones,16782
49,Michael Kidd-Gilchrist,8987
34,Chris Andersen,16219
60,Tobias Harris,5884
63,Frank Kaminsky,5419
54,Amir Johnson,7916
80,Thaddeus Young,3076
71,Marvin Williams,4243
78,James Johnson,3335
74,Kelly Oubre Jr.,3995
64,Justise Winslow,5404
52,Pascal Siakam,8339
56,Doug McDermott,7464
88,Rondae Hollis-Jefferson,2582
82,Aron Baynes,2968
72,Cristiano Felício,4225
89,Miles Plumlee,2573
85,Marcus Morris,2888
86,Luke Babbitt,2853
76,Lavoy Allen,3888
77,Timothé Luwawu-Cabarrot,3600
62,Luis Scola,5563
65,Mirza Teletović,5351
81,Thabo Sefolosha,3059
66,Bruno Caboclo,5185
83,Richaun Holmes,2944
84,Al Jefferson,2936
69,Mike Dunleavy,5010
70,Jonas Jerebko,4651
97,Jeff Green,1860
98,Marshall Plumlee,1858
73,Jakob Poeltl,4200
90,Lance Thomas,2533
75,Steve Novak,3909
92,Tyler Zeller,2160
79,Udonis Haslem,3163
105,Rakeem Christmas,1406
101,Jon Leuer,1522
102,DeAndre' Bembry,1521
87,Jared Sullinger,2679
103,Spencer Hawes,1491
106,Stanley Johnson,1400
91,Paul Zipser,2272
107,Jason Smith,1331
93,Bobby Portis,2127
94,Roy Hibbert,1984
126,Quincy Acy,547
95,C.J. Miles,1965
121,Danuel House,653
96,Justin Hamilton,1873
113,Mike Muscala,1030
114,Chris McCullough,911
99,Tiago Splitter,1725
115,Taurean Prince,890
100,Kris Humphries,1666
116,Damjan Rudež,869
104,Henry Ellenson,1463
120,Daniel Ochefu,674
108,Ian Mahinmi,1258
109,Jordan Mickey,1184
110,Derrick Williams,1154
111,Maurice Ndour,1094
112,Willie Reed,1062
117,Reggie Bullock,858
118,Kevin Séraphin,851
119,Stephen Zimmerman,767
122,Christian Wood,593
123,Mike Scott,587
124,Georges Niang,578
125,Josh McRoberts,552
127,Andrew Nicholson,529
128,Ryan Kelly,452
129,Arinze Onuaku,216
